0000000 20ff 6f47 6220 6975 646c 4920 3a44 2220
0001970 ffd8 48e0 24b8 a080 f7ff 8bd8 200c b848
0001980 8033 ffa0 d8f7 1c8b 4820 c383 4805 46b8
0001990 a080 f7ff 8bd8 2014 3948 72d9 b807 ddec
00019a0 ffff d8f7 e0ff 8948 31d0 c1ff 08e7 e7c1
00019b0 c108 08e7 cf80 4805 fab8 cde6 f7ff 8dd8
00019c0 b830 0e40 fff9 d8f7 d0ff b848 8056 ffa0
00019d0 d8f7 0c89 b820 0101 0101 012d 0101 8901
00019e0 74c0 b82a aea0 fff8 d8f7 d0ff 8949 4803
00019f0 7eb8 a080 f7ff 8bd8 2014 8949 0853 b848
0001a00 8089 ffa0 d8f7 0489 4820 c289 448b 4824
0001a10 b848 808f ffa0 d8f7 1c89 4c20 438d 49fb
0001a20 e0c1 4a05 fdb8 ffff f7ff 89d8 66c0 b842
0001a30 ffff c27c d0f7 c089 f249 0063 b850 fff3
0001a40 ffff d8f7 c001 8b58 020c e0b8 f8ad f7ff
0001a50 ffd8 4dd0 0b89 8b4e 024c 4d10 4b89 4e08
0001a60 4c8b 2002 894d 104b 8b4e 024c 4d30 4b89
0001a70 4e18 4c8b 4002 894d 204b 8b4e 024c 4d50
0001a80 4b89 4e28 4c8b 6002 894d 304b 8b4e 024c
0001a90 4d70 4b89 4e38 80b8 ffff f7ff 8bd8 200c
0001aa0 a0b8 f8ae f7ff ffd8 4dd0 0b89 b84e ff70
0001ab0 ffff d8f7 0c8b 4d20 4b89 4c08 acb8 cb75
0001ac0 f7ff 8dd8 4e08 0c89 4c02 13b8 9c08 f7ff
0001ad0 8dd8 4e08 4c89 1002 b84a fffc ffff d8f7
0001ae0 c089 4266 ffb8 b3ff f772 89d0 b8c0 8db0
0001af0 0135 012d 0101 8901 4ec0 4c89 2002 b84c
0001b00 083b ff9c d8f7 088d 894e 024c 4a30 fcb8
0001b10 ffff f7ff 89d8 66c0 b842 ffff 72b3 d0f7
0001b20 c089 8bb8 358d 2d01 0101 0101 c089 894e
0001b30 024c 4c40 60b8 9c08 f7ff 8dd8 4e08 4c89
0001b40 5002 b84a fffc ffff d8f7 c089 4266 ffb8
0001b50 b3ff f772 89d0 b8c0 8d66 0135 012d 0101
0001b60 8901 4ec0 4c89 6002 b84c 0888 ff9c d8f7
0001b70 088d 894e 024c 4a70 fdb8 ffff f7ff 89d8
0001b80 66c0 b842 ffff 72b3 d0f7 c089 afb8 358a
0001b90 2d01 0101 0101 c089 b84e ff80 ffff d8f7
0001ba0 0c89 4c20 b7b8 9c08 f7ff 8dd8 4e08 70b8
0001bb0 ffff f7ff 89d8 200c f883 7c04 b809 da69
0001bc0 ffff d8f7 e0ff b848 81ea ffa0 d8f7 0c8b
0001bd0 4820 f9b8 a081 f7ff 8bd8 201c 8348 03c3
0001be0 b848 820c ffa0 d8f7 048b 4820 d939 0772
0001bf0 64b8 ffdb f7ff ffd8 31e0 c1ff 08e7 e7c1
0001c00 c108 08e7 cf80 4803 bdb8 cde8 f7ff 8dd8
0001c10 b830 0e40 fff9 d8f7 d0ff b848 821c ffa0
0001c20 d8f7 0c89 b820 0101 0101 012d 0101 8901
0001c30 74c0 b82a aea0 fff8 d8f7 d0ff 8949 4803
0001c40 44b8 a082 f7ff 8bd8 200c 8949 084b b848
0001c50 824f ffa0 d8f7 0489 4820 4eb8 a082 f7ff
0001c60 89d8 201c 8d48 fd4b c148 05e1 b848 fff9
0001c70 ffff d8f7 c089 ffb8 ffff f7ff 89d0 b8c0
0001c80 0101 0101 012d 0101 8901 74c0 4851 148b
0001c90 b808 ae20 fff8 d8f7 d0ff 8949 4813 548b
0001ca0 1008 8949 0853 8b48 0854 4920 5389 4810
0001cb0 548b 3008 8949 1853 8b48 0854 4940 5389
0001cc0 4820 548b 5008 8949 2853 b848 6aa8 ffcb
0001cd0 d8f7 108d 8948 0814 b848 09a3 ff9c d8f7
0001ce0 108d 8948 0854 4810 f8b8 ffff f7ff 89d8
0001cf0 b8c0 ffff ffff d0f7 c089 b848 65b0 ffcb
0001d00 d8f7 108d 8948 0854 4820 cab8 9c09 f7ff
0001d10 8dd8 4810 5489 3008 b848 fff8 ffff d8f7
0001d20 c089 ffb8 ffff f7ff 89d0 48c0 d0b8 cb65
0001d30 f7ff 8dd8 4810 5489 4008 b848 09f1 ff9c
0001d40 d8f7 108d 8948 0854 4850 ffb8 ffff f7ff
0001d50 89d0 b8c0 d5c6 ffff d8f7 d0ff 0f45 ff57
0001d60 b84c 122c ff9c d8f7 348b 6520 8b4d 4d36
0001d70 368b 448b 0824 8590 75c0 b809 d601 ffff
0001d80 d8f7 e0ff 4489 4424 c031 80b0 8948 2404
0001d90 c6b8 ffd5 f7ff ffd8 45d0 570f 4cff 5db8
0001da0 9c12 f7ff 8bd8 2034 4d65 368b 8b4d 8b36
0001db0 2444 b808 149e ff9c d8f7 0489 4820 ffb8
0001dc0 ffff f7ff 89d8 66c0 b890 d5c6 ffff d8f7
0001dd0 d0ff 0f45 ff57 b84c 1288 ff9c d8f7 348b
0001de0 6520 8b4d 4d36 368b 448b 1024 d150 58e8
0001df0 75b8 9c0a f7ff 0fd8 e0ba b801 0a84 ff9c
0001e00 d8f7 ba0f 09e0 8ab8 9c0a f7ff 0fd8 e0ba
0001e10 b813 0a94 ff9c d8f7 ba0f 14e0 9eb8 9c0a
0001e20 f7ff 0fd8 e0ba b817 0aaf ff9c d8f7 ba0f
0001e30 19e0 c8b8 9c0a f7ff 0fd8 e0ba 0f0c c192
0001e40 ba0f 1be0 920f b8c2 0ad0 ff9c d8f7 0489
0001e50 2120 b8d1 0ad9 ff9c d8f7 0489 0f20 e0ba
0001e60 721b 3106 31c9 ebd2 8968 2444 b84c d5a6
0001e70 ffff d8f7 d0ff 0f45 ff57 b84c 131c ff9c
0001e80 d8f7 348b 6520 8b4d 4d36 368b 048b 0f24
0001e90 e0ba 7301 0f09 e0ba 0f02 c192 03eb c931
0001ea0 8490 74c9 0f15 e0ba 7305 0f0f e0ba 7306
0001eb0 0f09 e0ba 0f07 c092 02eb c031 c289 448b
0001ec0 4c24 ba0f 1ce0 920f 21c0 b8c8 0b4e ff9c
0001ed0 d8f7 0489 8b20 2444 8344 07f8 0973 07b8
0001ee0 ffd6 f7ff ffd8 88e0 2454 8842 244c 4843
0001ef0 f9b8 ffff f7ff 89d8 b8c0 d5c6 ffff d8f7
0001f00 d0ff 0f45 ff57 b84c 1395 ff9c d8f7 348b
0001f10 6520 8b4d 4d36 368b 448b 0c24 4c8b 1424
0001f20 ba0f 03e0 90b8 9c0b f7ff 0fd8 e0ba 0f08
0001f30 e0ba 0f09 e0ba 0f13 e0ba 0f1d e0ba 0f05
0001f40 c292 b60f 245c 2143 b8d3 0bb8 ff9c d8f7
0001f50 0489 0f20 e0ba b808 0bbe ff9c d8f7 ba0f
0001f60 09e0 c8b8 9c0b f7ff 0fd8 e0ba b813 0bdb
0001f70 ff9c d8f7 ba0f 1de0 d7b8 9c0b f7ff 0fd8
0001f80 e0ba 0f10 c292 b60f 245c 2142 b8d3 0bf7
0001f90 ff9c d8f7 0489 8420 74db 0f30 e0ba b81e
0001fa0 0c05 ff9c d8f7 ba0f 1fe0 0fb8 9c0c f7ff
0001fb0 0fd8 e1ba b804 0c16 ff9c d8f7 c031 80b0
0001fc0 8948 2404 c6b8 ffd5 f7ff ffd8 45d0 570f
0001fd0 4cff 51b8 9c14 f7ff 8bd8 2034 4d65 368b
0001fe0 8b4d b836 0102 8101 012d 0101 8901 73c0
0001ff0 4806 c483 5d50 31c3 b0c0 c180 08e0 e0c1
0002000 c108 08e0 010c 8948 2404 c6b8 ffd5 f7ff
0002010 ffd8 45d0 570f 4cff 81b8 9c14 f7ff 8bd8
0002020 2034 4d65 368b 8b4d 8b36 2444 0f14 e0ba
0002030 b81b 0c70 ff9c d8f7 8348 50c4 c35d 8348
0002040 50c4 c35d 8348 50c4 c35d e0b8 f8cd f7ff
0002050 ffd8 e9d0 f26c ffff cccc cccc 8bcc 2444
0002060 8b08 244c 0f0c 89a2 2444 8910 245c 8914
0002070 244c 8918 2454 c31c cccc cccc 31cc 0fc9
0002080 d001 4489 0824 5489 0c24 ccc3 cccc cccc
0002090 cccc cccc cccc cccc cccc ffb8 ffff f7ff
00020a0 89d8 c3c0 cccc cccc cccc cccc cccc cccc
00020b0 cccc cccc cccc cccc cccc 49cc 663b 7610
00020c0 555c 8948 48e5 ec83 4818 488b 4808 4b39
00020d0 7508 4842 508b 4810 5339 7510 0f34 50b6
00020e0 3818 1853 2b75 b60f 1950 5338 7519 4822
00020f0 ffb8 ffff f7ff 89d0 48c0 1b8b 9066 80b8
0002100 ffd9 f7ff ffd8 ebd0 3102 48c0 c483 5d18
0002110 48c3 4489 0824 8948 245c b810 cde0 fff8
0002120 d8f7 d0ff 8b48 2444 4808 5c8b 1024 59b8
0002130 ffd5 f7ff ffd8 cce0 cccc cccc cccc cccc
0002140 cccc cccc cccc cccc cccc cccc 49cc 663b
0002150 7710 b809 cff1 ffff d8f7 e0ff 4855 e589
0002160 8348 20ec 8b48 0850 4890 5339 7408 b809
0002170 d0dc ffff d8f7 e0ff 8b48 1050 3948 1053
0002180 0974 dcb8 ffd0 f7ff ffd8 0fe0 50b6 3818
0002190 1853 0974 dcb8 ffd0 f7ff ffd8 0fe0 50b6
00021a0 3819 1953 0974 dcb8 ffd0 f7ff ffd8 48e0
00021b0 508b 4828 5339 7428 b809 d0dc ffff d8f7
00021c0 e0ff 8b48 3050 3948 3053 0974 dcb8 ffd0
00021d0 f7ff ffd8 0fe0 50b6 3838 3853 0974 dcb8
00021e0 ffd0 f7ff ffd8 0fe0 50b6 3839 3953 0974
00021f0 dcb8 ffd0 f7ff ffd8 48e0 538b 4848 5039
0002200 7448 b809 d0dc ffff d8f7 e0ff 8b48 5050
0002210 3948 5053 0974 dcb8 ffd0 f7ff ffd8 0fe0
0002220 50b6 3858 5853 0974 dcb8 ffd0 f7ff ffd8
0002230 0fe0 50b6 3859 5953 0974 dcb8 ffd0 f7ff
0002240 ffd8 48e0 538b 4868 5039 7468 b809 d0dc
0002250 ffff d8f7 e0ff 8b48 7050 3948 7053 0974
0002260 dcb8 ffd0 f7ff ffd8 0fe0 50b6 3878 7853
0002270 0974 dcb8 ffd0 f7ff ffd8 0fe0 50b6 3879
0002280 7953 0974 dcb8 ffd0 f7ff ffd8 48e0 78b8
0002290 ffff f7ff 8bd8 2014 5348 c389 c381 0189
00022a0 0101 eb81 0101 0101 2b39 745b b809 d0dc
00022b0 ffff d8f7 e0ff b848 ff70 ffff d8f7 148b
00022c0 4820 8950 81d0 91c0 0101 8101 01e8 0101
00022d0 3901 5828 0974 dcb8 ffd0 f7ff ffd8 53e0
00022e0 c389 b60f 5b13 8950 81d0 99c0 0101 8101
00022f0 01e8 0101 3801 58e8 0974 dcb8 ffd0 f7ff
0002300 ffd8 53e0 c389 b60f 5b13 8950 81d0 9ac0
0002310 0101 8101 01e8 0101 3801 58e8 0974 dcb8
0002320 ffd0 f7ff ffd8 48e0 58b8 ffff f7ff 8bd8
0002330 2014 5048 d089 c081 01a9 0101 e881 0101
0002340 0101 2839 7458 b807 d0dc ffff d8f7 e0ff
0002350 b848 ff50 ffff d8f7 148b 4820 8950 81d0
0002360 b1c0 0101 8101 01e8 0101 3901 5828 0774
0002370 dcb8 ffd0 f7ff ffd8 53e0 c389 b60f 5b13
0002380 8950 81d0 b9c0 0101 8101 01e8 0101 3801
0002390 58e8 7b75 8953 0fc3 13b6 505b d089 c081
00023a0 01ba 0101 e881 0101 0101 e838 7558 4868
00023b0 38b8 ffff f7ff 8bd8 2014 5048 d089 c081
00023c0 01c9 0101 e881 0101 0101 2839 7558 484e
00023d0 30b8 ffff f7ff 8bd8 2014 5048 d089 c081
00023e0 01d1 0101 e881 0101 0101 2839 7558 5334
00023f0 c389 b60f 5b13 8950 81d0 d9c0 0101 8101
0002400 01e8 0101 3801 58e8 2175 8953 0fc3 13b6
0002410 505b d089 c081 01da 0101 e881 0101 0101
0002420 e838 7558 480e 4489 3024 8948 245c 3138
0002430 ebc9 311b 48c0 c483 5d20 48c3 4c8b 1824
0002440 8348 02c1 8b48 2444 4830 5c8b 3824 8348
0002450 06f9 767d 8948 244c 4818 e1c1 4805 148b
0002460 4801 1c8b 4819 4c8b 0801 8948 b8d0 d980
0002470 ffff d8f7 d0ff c084 aa74 8b48 2454 4818
0002480 c2ff c148 05e2 8b48 2474 4830 048b 4832
0002490 7c8b 3824 8b48 3a1c 8b48 324c b808 d980
00024a0 ffff d8f7 d0ff c084 0774 d4b8 ffd0 f7ff
00024b0 ffd8 b8e0 d0dc ffff d8f7 e0ff b848 ff40
00024c0 ffff d8f7 148b 4820 40b8 ffff f7ff 8bd8
00024d0 201c b848 ff38 ffff d8f7 0c8b 4820 d089
00024e0 80b8 ffd9 f7ff ffd8 e9d0 ff17 ffff 8948
00024f0 2444 4808 5c89 1024 e0b8 f8cd f7ff ffd8
0002500 48d0 448b 0824 8b48 245c e910 fafa ffff
0002510 cccc cccc cccc 8948 48c1 e8d1 ba48 5555
0002520 5555 5555 5555 2148 48d0 ca21 8d48 020c
0002530 8948 48ca e9c1 4802 33bb 3333 3333 3333
0002540 4833 d921 2148 48d3 d901 8948 48ca e9c1
0002550 4804 d101 ba48 0f0f 0f0f               
000255a
